"acidez.fija","acidez.volatil","acido.citrico","azucar.residual","cloruros","azufre.libre","azufre.total","densidad","ph","sulfatos","alcohol","calidad"
6.8,0.27,0.24,4.6,0.098,36,127,0.99412,3.15,0.49,9.6,6
6.3,0.29,0.29,3.3,0.037,32,140,0.9895,3.17,0.36,12.8,7
6.3,0.16,0.22,1.3,0.046,18,66,0.99307,3.61,0.55,10.3,6
5.2,0.24,0.45,3.8,0.027,21,128,0.992,3.55,0.49,11.2,8
7.7,0.24,0.27,1.8,0.051,52,190,0.9928,3.23,0.5,10.8,6
6.7,0.18,0.3,6.4,0.048,40,251,0.9956,3.29,0.52,10,5
5.7,0.14,0.3,5.4,0.045,26,105,0.99469,3.32,0.45,9.3,5
6.8,0.32,0.34,1.2,0.044,14,67,0.9919,3.05,0.47,10.6,4
7,0.36,0.35,2.5,0.048,67,161,0.99146,3.05,0.56,11.1,6
7.8,0.18,0.31,12.2,0.053,46,140,0.998,3.06,0.53,8.9,6
7.5,0.24,0.31,13.1,0.05,26,180,0.99884,3.05,0.53,9.1,6
7,0.2,0.49,5.9,0.038,39,128,0.9938,3.21,0.48,10.8,6
6.3,0.18,0.24,3.4,0.053,20,119,0.99373,3.11,0.52,9.2,6
6.5,0.3,0.39,7.8,0.038,61,219,0.9959,3.19,0.5,9.4,5
7.4,0.18,0.3,10.4,0.045,44,174,0.9966,3.11,0.57,9.7,6
5.8,0.28,0.27,2.6,0.054,30,156,0.9914,3.53,0.42,12.4,5
6.5,0.27,0.26,11,0.03,2,82,0.99402,3.07,0.36,11.2,5
7.3,0.41,0.29,1.8,0.032,26,74,0.98889,2.96,0.35,13,8
7.2,0.34,0.2,5.8,0.062,52,203,0.99461,3.17,0.44,9.8,6
7.3,0.17,0.36,8.2,0.028,44,111,0.99272,3.14,0.41,12.4,6
8,0.28,0.32,7.6,0.045,61,204,0.99543,3.1,0.55,10.1,6
7,0.34,0.39,6.9,0.066,43,162,0.99561,3.11,0.53,9.5,5
7.6,0.3,0.27,10.6,0.039,31,119,0.99815,3.27,0.3,9.3,6
5.9,0.24,0.3,2,0.033,28,92,0.99225,3.39,0.69,10.9,7
6.4,0.27,0.45,8.3,0.05,52,196,0.9955,3.18,0.48,9.5,5
6.8,0.45,0.28,26.05,0.031,27,122,1.00295,3.06,0.42,10.6,6
6.3,0.15,0.3,1.4,0.022,38,100,0.99099,3.42,0.57,11.4,7
7.6,0.25,1.23,4.6,0.035,51,294,0.99018,3.03,0.43,13.1,6
6.8,0.3,0.35,2.8,0.038,10,164,0.9912,3.09,0.53,12,6
6.7,0.24,0.39,2.9,0.173,63,157,0.9937,3.1,0.34,9.4,6
6.5,0.36,0.31,13.55,0.053,20,113,0.99544,3.2,0.56,11,6
7.3,0.33,0.22,1.4,0.041,40,177,0.99287,3.14,0.48,9.9,5
8,0.55,0.17,8.2,0.04,13,60,0.9956,3.09,0.3,9.5,4
6.4,0.27,0.19,1.9,0.085,21,196,0.99516,3.49,0.64,9.5,4
6.2,0.25,0.54,7,0.046,58,176,0.99454,3.19,0.7,10.4,5
6.1,0.31,0.34,2.8,0.042,59.5,162,0.99179,3.27,0.47,10.8,6
7.2,0.21,0.34,11.9,0.043,37,213,0.9962,3.09,0.5,9.6,6
7.8,0.16,0.41,1.7,0.026,29,140,0.991,3.02,0.78,12.5,6
6.6,0.22,0.53,15.1,0.052,22,136,0.9986,2.94,0.35,9.4,5
6.8,0.11,0.27,8.6,0.044,45,104,0.99454,3.2,0.37,9.9,6
6.4,0.33,0.28,4,0.04,24,81,0.9903,3.26,0.64,12.6,7
8.9,0.33,0.32,1.5,0.047,11,200,0.9954,3.19,0.46,9.4,5
7.9,0.18,0.49,5.2,0.051,36,157,0.9953,3.18,0.48,10.6,6
7.6,0.52,0.49,14,0.034,37,156,0.9958,3.14,0.38,11.8,7
6.8,0.23,0.29,12.2,0.035,38,236,0.9976,3.35,0.52,9.8,6
6.5,0.26,0.31,3.6,0.03,36,92,0.99026,3.22,0.62,12.6,8
5.3,0.3,0.3,1.2,0.029,25,93,0.98742,3.31,0.4,13.6,7
7.5,0.22,0.32,2.4,0.045,29,100,0.99135,3.08,0.6,11.3,7
6.4,0.28,0.43,7.1,0.045,60,221,0.9952,3.09,0.45,9.4,6
6.7,0.21,0.48,14.8,0.05,31,195,0.99942,2.95,0.75,8.8,6
6.5,0.22,0.32,2.2,0.028,36,92,0.99076,3.27,0.59,11.9,7
7.1,0.28,0.49,6.5,0.041,28,111,0.9926,3.41,0.58,12.2,8
6.8,0.26,0.24,7.8,0.052,54,214,0.9961,3.13,0.47,8.9,5
7.6,0.26,0.36,1.6,0.032,6,106,0.993,3.15,0.4,10.4,4
5.7,0.32,0.5,2.6,0.049,17,155,0.9927,3.22,0.64,10,6
6.7,0.62,0.24,1.1,0.039,6,62,0.9934,3.41,0.32,10.4,5
7.6,0.23,0.49,10,0.036,45,182,0.9967,3.08,0.58,9.6,6
5.1,0.33,0.22,1.6,0.027,18,89,0.9893,3.51,0.38,12.5,7
6.2,0.21,0.27,1.7,0.038,41,150,0.9933,3.49,0.71,10.5,7
6,0.33,0.27,0.8,0.185,12,188,0.9924,3.12,0.62,9.4,5
6.4,0.29,0.21,9.65,0.041,36,119,0.99334,2.99,0.34,10.9333333333333,6
6.7,0.36,0.28,8.3,0.034,29,81,0.99151,2.96,0.39,12.5,6
8.6,0.31,0.3,0.9,0.045,16,109,0.99249,2.95,0.39,10.1,5
5.5,0.12,0.33,1,0.038,23,131,0.99164,3.25,0.45,9.8,5
7.1,0.3,0.36,6.8,0.055,44.5,234,0.9972,3.49,0.64,10.2,6
7,0.32,0.35,1.5,0.039,24,125,0.9918,3.17,0.64,12.2,6
7.1,0.17,0.4,14.55,0.047,47,156,0.99945,3.34,0.78,9.1,6
6.5,0.22,0.31,3.9,0.046,17,106,0.99098,3.15,0.31,11.5,5
6.6,0.31,0.28,1.4,0.035,28,107,0.98836,3,0.4,13.2,6
7.6,0.22,0.34,9.7,0.035,26,143,0.9965,3.08,0.49,9.8,6
6,0.17,0.29,5,0.028,25,108,0.99076,3.14,0.34,12.3,6
6.8,0.21,0.27,18.15,0.042,41,146,1.0001,3.3,0.36,8.7,5
6.3,0.33,0.42,17.2,0.037,57,170,0.99884,3.26,0.57,9.4,6
7.4,0.3,0.22,5.25,0.053,33,180,0.9926,3.13,0.45,11.6,6
5.8,0.22,0.29,1.3,0.036,25,68,0.98865,3.24,0.35,12.6,6
6.6,0.21,0.49,18.15,0.042,41,158,0.9997,3.28,0.39,8.7,6
6.8,0.36,0.24,4.6,0.039,24,124,0.9909,3.27,0.34,12.6,7
6.1,0.28,0.16,1.3,0.06,36,126,0.99353,3.13,0.46,8.7,6
8.1,0.2,0.49,11.8,0.048,46,212,0.9968,3.09,0.46,10,7
7,0.21,0.28,7.5,0.07,45,185,0.9966,3.34,0.55,9.4,5
7,0.16,0.3,2.6,0.043,34,90,0.99047,2.88,0.47,11.2,6
6.6,0.41,0.16,1.4,0.037,28,160,0.99167,2.95,0.45,10.6,6
7.2,0.29,0.53,18.15,0.047,59,182,0.9992,3.09,0.52,9.6,5
7.9,0.19,0.26,2.1,0.039,8,143,0.9942,3.05,0.74,9.8,5
7.9,0.51,0.36,6.2,0.051,30,173,0.9984,3.09,0.53,9.7,5
6.9,0.32,0.26,2.3,0.03,11,103,0.99106,3.06,0.42,11.1,6
6.6,0.4,0.32,1.7,0.035,39,84,0.99096,3.59,0.48,12.7,7
8.4,0.23,0.49,7.8,0.035,22,95,0.9935,3.04,0.34,12,6
6.2,0.2,0.29,11.8,0.035,21,93,0.99364,3.18,0.34,11.9,6
8,0.25,0.35,1.1,0.054,13,136,0.99366,3.08,0.55,9.5,5
6.4,0.26,0.26,1.1,0.052,22,176,0.99304,3.09,0.54,9.3,5
8,0.22,0.42,14.6,0.044,45,163,1.0003,3.21,0.69,8.6,7
6.4,0.22,0.31,13.9,0.04,57,135,0.99672,3.21,0.38,10.7,5
6.1,0.3,0.32,2.2,0.042,41,142,0.98952,3.31,0.44,12.7,7
7.8,0.26,0.31,3.6,0.025,22,100,0.99066,2.99,0.47,12.1,7
6.5,0.18,0.33,8,0.051,16,131,0.9965,3.28,0.44,8.7,7
6.7,0.22,0.33,1.2,0.036,36,86,0.99058,3.1,0.76,11.4,6
6.4,0.45,0.07,1.1,0.03,10,131,0.9905,2.97,0.28,10.8,5
7,0.44,0.24,12.1,0.056,68,210,0.99718,3.05,0.5,9.5,5
7.1,0.25,0.49,3,0.03,30,96,0.9903,3.13,0.39,12.3,7
8.5,0.19,0.48,1.1,0.026,23,58,0.99184,2.9,0.5,10.5,6
6.4,0.26,0.22,5.1,0.037,23,131,0.9944,3.29,0.32,10.1,5
6.7,0.5,0.63,13.4,0.078,81,238,0.9988,3.08,0.44,9.2,5
7.2,0.28,0.54,16.7,0.045,54,200,0.999,3.08,0.49,9.5,6
6.6,0.22,0.28,4.9,0.042,51,180,0.9952,3.3,0.75,9.5,6
6.8,0.28,0.4,22,0.048,48,167,1.001,2.93,0.5,8.7,5
6.9,0.28,0.37,9.1,0.037,16,76,0.9948,3.05,0.54,11.1,5
6.6,0.23,0.18,8.5,0.044,59,188,0.99558,3.16,0.49,9.5,5
6.5,0.18,0.34,1.6,0.04,43,148,0.9912,3.32,0.59,11.5,8
7,0.31,0.35,1.6,0.063,13,119,0.99184,3.22,0.5,10.7,5
5.9,0.655,0,5.6,0.033,8,31,0.9936,3.32,0.51,10.5,4
6.8,0.19,0.32,7.6,0.049,37,107,0.99332,3.12,0.44,10.7,7
6.6,0.23,0.32,1.7,0.024,26,102,0.99084,3.29,0.6,11.8,6
7.7,0.34,0.58,11.1,0.039,41,151,0.9978,3.06,0.49,8.6,5
6.3,0.34,0.27,2.5,0.024,40,152,0.99095,3.35,0.6,11.9,7
6.8,0.18,0.3,12.8,0.062,19,171,0.99808,3,0.52,9,7
7.9,0.25,0.34,11.4,0.04,53,202,0.99708,3.11,0.57,9.6,6
7.8,0.28,0.32,9,0.036,34,115,0.9952,3.17,0.39,10.3,7
6.2,0.29,0.32,3.6,0.026,39,138,0.9892,3.31,0.37,13.1,7
5.7,0.28,0.36,1.8,0.041,38,90,0.99002,3.27,0.98,11.9,7
7.3,0.26,0.31,1.6,0.04,39,173,0.9918,3.19,0.51,11.4,6
8.6,0.34,0.36,1.4,0.045,11,119,0.99556,3.17,0.47,9.4,4
7.1,0.36,0.37,4.8,0.019,39,114,0.99036,3.08,0.49,12.7,7
6.4,0.16,0.44,1.2,0.051,39,122,0.99058,3.11,0.75,11.3,7
6.1,0.34,0.27,2.6,0.024,20,105,0.9906,3.4,0.67,12.2,7
7,0.15,0.3,13.3,0.049,46,120,0.99704,3.2,0.36,9.5,7
6.7,0.25,0.33,2.9,0.057,52,173,0.9934,3.02,0.48,9.5,7
7.8,0.43,0.49,13,0.033,37,158,0.9955,3.14,0.35,11.3,6
7.1,0.13,0.4,1.2,0.047,54,134,0.9932,3.3,0.97,9.8,7
6.8,0.32,0.21,2.2,0.044,15,68,0.9932,3.17,0.39,9.4,6
9.7,0.24,0.45,1.2,0.033,11,59,0.9926,2.74,0.47,10.8,6
7.5,0.32,0.49,1.7,0.031,44,109,0.9906,3.07,0.46,12.5,6
6,0.28,0.27,4.1,0.046,50,147,0.99126,3.27,0.56,11.6,6
7.4,0.24,0.22,10.7,0.042,26,81,0.9954,2.86,0.36,9.7,6
7.6,0.47,0.49,13,0.239,42,220,0.9988,2.96,0.51,9.2,5
14.2,0.27,0.49,1.1,0.037,33,156,0.992,3.15,0.54,11.1,6
8.5,0.28,0.34,13.8,0.041,32,161,0.9981,3.13,0.4,9.9,6
5.4,0.15,0.32,2.5,0.037,10,51,0.98878,3.04,0.58,12.6,6
7.3,0.155,0.49,1.3,0.039,34,136,0.9926,3.14,0.77,10.5,6
8,0.24,0.26,1.7,0.033,36,136,0.99316,3.44,0.51,10.4,7
5.1,0.21,0.28,1.4,0.047,48,148,0.99168,3.5,0.49,10.4,5
7.2,0.24,0.29,2.2,0.037,37,102,0.992,3.27,0.64,11,7
7.4,0.22,0.27,1.6,0.057,45,98,0.99299,3.29,0.44,9.9,7
6,0.31,0.27,2.3,0.042,19,120,0.98952,3.32,0.41,12.7,7
8.5,0.17,0.31,1,0.024,13,91,0.993,2.79,0.37,10.1,5
6.3,0.23,0.22,3.75,0.039,37,116,0.9927,3.23,0.5,10.7,6
6.9,0.24,0.23,7.1,0.041,20,97,0.99246,3.1,0.85,11.4,6
6.2,0.24,0.22,7.9,0.053,45,149,0.99545,3.23,0.52,9.3,5
5.2,0.3,0.34,1.5,0.038,18,96,0.98942,3.56,0.48,13,8
7,0.19,0.33,6.3,0.032,42,127,0.99182,3.31,0.38,12.2,6
6.4,0.25,0.57,1,0.062,21,122,0.99238,3,0.4,9.5,5
7.2,0.5,0,0.8,0.034,46,114,0.9932,3.19,0.34,9.2,4
7.1,0.32,0.3,9.9,0.041,63,192,0.99642,3.12,0.49,10.2,6
6.4,0.21,0.34,16.05,0.04,56,142,0.99678,3.11,0.38,10.6,5
7.3,0.38,0.23,6.5,0.05,18,102,0.99304,3.1,0.55,11.2,4
7.2,0.18,0.41,1.2,0.048,41,97,0.9919,3.14,0.45,10.4,5
6.1,0.3,0.3,2.1,0.031,50,163,0.9895,3.39,0.43,12.7,7
6.5,0.39,0.35,1.6,0.049,10,164,0.99516,3.35,0.51,9.7,5
5.3,0.2,0.31,3.6,0.036,22,91,0.99278,3.41,0.5,9.8,6
5.1,0.42,0.01,1.5,0.017,25,102,0.9894,3.38,0.36,12.3,7
6.7,0.27,0.31,15.7,0.036,44,179,0.9979,3.26,0.56,9.6,5
6.1,0.37,0.46,12,0.042,61,210,0.997,3.17,0.59,9.7,6
5.7,0.26,0.27,4.1,0.201,73.5,189.5,0.9942,3.27,0.38,9.4,6
6.7,0.21,0.42,9.1,0.049,31,150,0.9953,3.12,0.74,9.9,7
6.8,0.45,0.36,5,0.033,28,156,0.991,3.11,0.4,12.4,7
6.5,0.24,0.28,1.1,0.034,26,83,0.98928,3.25,0.33,12.3,6
7,0.17,0.74,12.8,0.045,24,126,0.9942,3.26,0.38,12.2,8
5.7,0.4,0.35,5.1,0.026,17,113,0.99052,3.18,0.67,12.4,6
8.2,0.42,0.29,4.1,0.03,31,100,0.9911,3,0.32,12.8,7
8,0.3,0.36,11,0.034,8,70,0.99354,3.05,0.41,12.2,6
6.4,0.25,0.74,7.8,0.045,52,209,0.9956,3.21,0.42,9.2,6
5.3,0.32,0.23,9.65,0.026,26,119,0.99168,3.18,0.53,12.2,6
6.1,0.22,0.5,6.6,0.045,30,122,0.99415,3.22,0.49,9.9,6
7.3,0.2,0.44,1.4,0.045,21,98,0.9924,3.15,0.46,10,7
5.8,0.29,0.21,2.6,0.025,12,120,0.9894,3.39,0.79,14,7
7,0.24,0.3,4.2,0.04,41,213,0.9927,3.28,0.49,11.8,6
6,0.38,0.26,3.5,0.035,38,111,0.98872,3.18,0.47,13.6,7
6.3,0.25,0.44,11.6,0.041,48,195,0.9968,3.18,0.52,9.5,5
6,0.495,0.27,5,0.157,17,129,0.99396,3.03,0.36,9.3,5
5.7,0.37,0.3,1.1,0.029,24,88,0.98883,3.18,0.39,11.7,6
6.8,0.3,0.22,6.2,0.06,41,190,0.99858,3.18,0.51,9.2,5
8.1,0.27,0.33,1.3,0.045,26,100,0.99066,2.98,0.44,12.4,6
8,0.17,0.29,2.4,0.029,52,119,0.98944,3.03,0.33,12.9,6
8.5,0.17,0.74,3.6,0.05,29,128,0.9928,3.28,0.4,12.4,6
7.1,0.28,0.19,7.8,0.04,48,184,0.99579,3.16,0.5,9.4,5
7,0.36,0.32,10.05,0.045,37,131,0.99352,3.09,0.33,11.7,8
5.7,0.36,0.21,6.7,0.038,51,166,0.9941,3.29,0.63,10,6
6.2,0.28,0.28,4.3,0.026,22,105,0.989,2.98,0.64,13.1,8
6.5,0.35,0.36,0.8,0.034,32,111,0.98942,3.11,0.5,12.1,8
6,0.29,0.41,10.8,0.048,55,149,0.9937,3.09,0.59,11,7
6.8,0.22,0.41,6.7,0.034,39,116,0.99245,3.18,0.46,11.5,6
6.4,0.26,0.49,6.4,0.037,37,161,0.9954,3.38,0.53,9.7,6
6.4,0.145,0.49,5.4,0.048,54,164,0.9946,3.56,0.44,10.8,6
6.4,0.3,0.27,4.4,0.055,17,135,0.9925,3.23,0.44,12.2,6
7.8,0.2,0.2,1.4,0.036,25,83,0.99088,3.03,0.46,11.7,6
6.6,0.23,0.3,4.6,0.06,29,154,0.99142,3.23,0.49,12.2,8
7.5,0.17,0.37,1.5,0.06,18,75,0.9936,3.54,0.88,10.7,5
7.5,0.32,0.37,1.2,0.048,22,184,0.9938,3.09,0.43,9.3,5
6.8,0.27,0.29,4.6,0.046,6,88,0.99458,3.34,0.48,10.6,4
6.7,0.48,0.32,1.4,0.021,22,121,0.9889,3.15,0.53,12.7,7
6.3,0.32,0.35,11.1,0.039,29,198,0.9984,3.36,0.5,9.4,7
7.5,0.705,0.1,13,0.044,44,214,0.99741,3.1,0.5,9.1,5
6.4,0.29,0.44,3.6,0.197,75,183,0.9942,3.01,0.38,9.1,5
7.5,0.18,0.31,11.7,0.051,24,94,0.997,3.19,0.44,9.5,7
6.6,0.5,0.26,11.3,0.029,32,110,0.99302,3.27,0.78,12.9,8
6.3,0.29,0.29,3.3,0.037,32,140,0.9895,3.17,0.36,12.8,7
7.5,0.33,0.28,4.9,0.042,21,155,0.99385,3.36,0.57,10.9,6
7.2,0.21,0.36,15.7,0.045,68,183,0.99922,3.25,0.76,9.4,5
6.8,0.18,0.3,12.8,0.062,19,171,0.99808,3,0.52,9,7
6.7,0.48,0.32,1.4,0.021,22,121,0.9889,3.15,0.53,12.7,7
6.4,0.26,0.35,7.7,0.056,45,191,0.99527,3.16,0.5,9.5,5
6.9,0.3,0.36,4.5,0.054,31,203,0.99513,3.4,0.57,10.4,4
6.8,0.52,0.32,13.2,0.044,54,221,0.9972,3.27,0.5,9.6,6
6.6,0.56,0.22,8.9,0.034,27,133,0.99675,3.2,0.51,9.1,5
6.2,0.33,0.14,4.8,0.052,27,128,0.99475,3.21,0.48,9.4,5
7.7,0.17,0.52,5.9,0.017,21,84,0.9929,3.14,0.4,11.9,7
7,0.33,0.32,1.2,0.053,38,138,0.9906,3.13,0.28,11.2,6
6.9,0.38,0.29,13.65,0.048,52,189,0.99784,3,0.6,9.5,6
5.7,0.26,0.24,17.8,0.059,23,124,0.99773,3.3,0.5,10.1,5
5.7,0.22,0.2,16,0.044,41,113,0.99862,3.22,0.46,8.9,6
6,0.28,0.34,1.6,0.119,33,104,0.9921,3.19,0.38,10.2,6
7.9,0.22,0.49,3.8,0.042,26,105,0.993,3.1,0.39,10.5,5
6,0.25,0.28,2.2,0.026,54,126,0.9898,3.43,0.65,12.9,8
5.5,0.335,0.3,2.5,0.071,27,128,0.9924,3.14,0.51,9.6,6
6.2,0.16,0.54,1.4,0.126,37,110,0.9932,3.23,0.37,8.9,6
8,0.28,0.42,7.1,0.045,41,169,0.9959,3.17,0.43,10.6,5
6.8,0.51,0.3,4.2,0.066,38,165,0.9945,3.2,0.42,9.1,5
6.5,0.39,0.23,5.4,0.051,25,149,0.9934,3.24,0.35,10,5
6.9,0.33,0.28,1.3,0.051,37,187,0.9927,3.27,0.6,10.3,5
6.8,0.3,0.35,2.8,0.038,10,164,0.9912,3.09,0.53,12,6
5.9,0.26,0.25,12.5,0.034,38,152,0.9977,3.33,0.43,9.4,5
6.7,0.33,0.42,6.4,0.058,27,151,0.9954,3.16,0.44,9.6,5
6.9,0.32,0.15,8.1,0.046,51,180,0.9958,3.13,0.45,8.9,5
6.7,0.66,0,13,0.033,32,75,0.99551,3.15,0.5,10.7,6
6.9,0.33,0.31,7.7,0.04,29,135,0.99226,3.11,0.57,12.3,5
7.2,0.32,0.4,8.7,0.038,45,154,0.99568,3.2,0.47,10.4,6
6.8,0.24,0.38,8.3,0.045,50,185,0.99578,3.15,0.5,9.5,6
6.9,0.16,0.37,1.8,0.034,36,95,0.98952,2.93,0.59,12,6
6.3,0.19,0.28,1.8,0.022,28,158,0.9907,3.2,0.64,11.4,6
7,0.12,0.29,10.3,0.039,41,98,0.99564,3.19,0.38,9.8,8
7.1,0.26,0.32,14.45,0.074,29,107,0.998,2.96,0.42,9.2,6
7.1,0.31,0.17,1,0.042,21,144,0.99304,3.13,0.4,9.6,5
6.4,0.32,0.26,7.9,0.05,53,180,0.99514,3.14,0.5,9.6,5
6.5,0.27,0.19,6.6,0.045,98,175,0.99364,3.16,0.34,10.1,6
6.7,0.14,0.46,1.6,0.036,15,92,0.99264,3.37,0.49,10.9,5
7,0.24,0.25,1.7,0.042,48,189,0.992,3.25,0.42,11.4,6
